Subject,SubjectID,Condition,trial_day,trial_time,trial_condition,experiment_day,days_past,day_no,RT,condition_time_box,Response,Total Number of Names,Unique Within Day,Unique Overall,Specific Description,Vague Description,Vague.Unique.Overall,Vague.Unique.Day,Specific.Unique.Overall,Specific.Unique.Day,Plural Exists,Only Number Exists
2002,0letmqku6q,FOR,Tuesday,midday,forward,Wednesday,1,2,31276.1,Midday (noon - 6 pm),"Austin, Abhi, Jessica, Megha, Raymon, Santosh, Ajay, Makyia, Neha",9,8,6,9,0,0,0,6,8,,
2002,0letmqku6q,FOR,Tuesday,evening,forward,Wednesday,1,2,4689.2,Evening (after 6 pm),Sasha,1,0,0,1,0,0,0,0,0,,
2002,0letmqku6q,FOR,Wednesday,morning,forward,Wednesday,0,3,10362.5,Morning (until noon),Sasha,1,1,0,1,0,0,0,0,1,,
2002,0letmqku6q,FOR,Wednesday,midday,forward,Wednesday,0,3,25834.9,Midday (noon - 6 pm),"Sneha, Emily, Austin, Ajay, Tanisha, Sudipta, Vicki",7,7,5,7,0,0,0,5,7,,
2002,0letmqku6q,FOR,Wednesday,evening,forward,Wednesday,0,3,4257,Evening (after 6 pm),Sasha,1,0,0,1,0,0,0,0,0,,
2003,0v1shlayt6,FR,FR,FR,FR,Sunday,0,0,134890.4,FR,"Marvin, my friend, Gina, friend's roommate, Tim, my roommate, Justin, my roommate, Karen, friend, Jalen, does cool dances, Jennie, pretty hair, Annah, Naima, Naima's friend, Ethan",12,,12,12,0,0,0,12,12,,
2004,0vz9yqkls1,FR,FR,FR,FR,Friday,0,0,147797.1,FR,"two JSM worker, Tina, Thai Restaurant worker",4,,4,1,3,3,3,1,1,,
2005,0x8hpzybms,FOR,Friday,midday,forward,Monday,3,0,50982.2,Midday (noon - 6 pm),"Faizah, Inaya, Jibran, Atif",8,8,8,8,0,0,0,8,8,,
2005,0x8hpzybms,FOR,Friday,evening,forward,Monday,3,0,38830,Evening (after 6 pm),"Malak, Zakiya, Iman, Faiza, Hanin, Rowa, Mariam, Nabiha, Areeba, Amna",10,7,10,10,0,0,0,10,7,,
2005,0x8hpzybms,FOR,Saturday,morning,forward,Monday,2,1,20942.5,Morning (until noon),"Faizah, Atif, Jibran, Inaya",4,2,2,4,0,0,0,2,2,,
2005,0x8hpzybms,FOR,Saturday,midday,forward,Monday,2,1,45285.5,Midday (noon - 6 pm),"Faizah, Atif, Jibran, Inaya, Vikki Hair Salon Lady",8,8,4,5,0,0,0,4,8,,
2005,0x8hpzybms,FOR,Saturday,evening,forward,Monday,2,1,12378.2,Evening (after 6 pm),"Faizah, Atif, Jibran, Inaya",4,0,0,4,0,0,0,0,0,,
2005,0x8hpzybms,FOR,Sunday,morning,forward,Monday,1,2,10649.5,Morning (until noon),"Faizah, Atif, Jibran, Inaya",4,2,0,4,0,0,0,0,2,,
2005,0x8hpzybms,FOR,Sunday,midday,forward,Monday,1,2,11626.8,Midday (noon - 6 pm),"Faizah, Atif, Jibran, Inaya, Zakiya",5,5,1,5,0,0,0,1,5,,
2005,0x8hpzybms,FOR,Sunday,evening,forward,Monday,1,2,23601.2,Evening (after 6 pm),"Faizah, Atif, Jibran, Inaya, Zakiya, Talat, Aziza, Feras, Kashif, Asfa, Yousuf, Zaid",12,7,7,12,0,0,0,7,7,,
2005,0x8hpzybms,FOR,Monday,morning,forward,Monday,0,3,16765.2,Morning (until noon),"Faizah, Atif, Jazmine, Johanna",4,4,2,4,0,0,0,2,4,,
2005,0x8hpzybms,FOR,Monday,midday,forward,Monday,0,3,7087.5,Midday (noon - 6 pm),Jazmine,1,1,0,1,0,0,0,0,1,,
2005,0x8hpzybms,FOR,Monday,evening,forward,Monday,0,3,7999.6,Evening (after 6 pm),"Jazmine, Johanna",2,1,0,2,0,0,0,0,1,,
2006,1rfgxogea3,FOR,Saturday,morning,forward,Tuesday,3,0,18677,Morning (until noon),my roommate,1,1,1,1,0,0,0,1,1,,
2006,1rfgxogea3,FOR,Saturday,midday,forward,Tuesday,3,0,15270,Midday (noon - 6 pm),a lot of friends,4,4,4,4,0,0,0,4,4,y,
2006,1rfgxogea3,FOR,Saturday,evening,forward,Tuesday,3,0,9609,Evening (after 6 pm),more friends,4,4,4,2,0,0,0,4,4,y,
2006,1rfgxogea3,FOR,Sunday,morning,forward,Tuesday,2,1,8206,Morning (until noon),a friend,1,1,1,1,0,0,0,1,1,,
2006,1rfgxogea3,FOR,Sunday,midday,forward,Tuesday,2,1,4644,Midday (noon - 6 pm),friends,2,2,2,2,0,0,0,2,2,y,
2006,1rfgxogea3,FOR,Sunday,evening,forward,Tuesday,2,1,4058,Evening (after 6 pm),more friends,2,2,0,2,0,0,0,0,2,y,
2006,1rfgxogea3,FOR,Monday,morning,forward,Tuesday,1,2,11309,Morning (until noon),roommate,1,1,0,1,0,0,0,0,1,,
2006,1rfgxogea3,FOR,Monday,midday,forward,Tuesday,1,2,28951,Midday (noon - 6 pm),"English professor , Sarah , Diego , Asher",4,4,4,4,0,0,0,4,4,,
2006,1rfgxogea3,FOR,Monday,evening,forward,Tuesday,1,2,4016,Evening (after 6 pm),friends,2,0,0,2,0,0,0,0,0,y,
2006,1rfgxogea3,FOR,Tuesday,morning,forward,Tuesday,0,3,16108,Morning (until noon),"Math TA, William, Varun ",3,3,3,3,0,0,0,3,3,,
2006,1rfgxogea3,FOR,Tuesday,midday,forward,Tuesday,0,3,8208,Midday (noon - 6 pm),no one,0,0,0,0,0,0,0,0,0,,
2006,1rfgxogea3,FOR,Tuesday,evening,forward,Tuesday,0,3,8341,Evening (after 6 pm),N/A,0,0,0,0,0,0,0,0,0,,
2007,1zz4hf81yj,BAR,Saturday,evening,backward,Saturday,0,0,22788.8,Evening (after 6 pm),"xie ning, zhuxiye",4,4,4,4,0,0,0,4,4,,
2007,1zz4hf81yj,BAR,Saturday,midday,backward,Saturday,0,0,24866.9,Midday (noon - 6 pm),"anthnony, ruby, daisy, charles",6,3,3,6,0,0,0,3,3,,
2007,1zz4hf81yj,BAR,Saturday,morning,backward,Saturday,0,0,6396.6,Morning (until noon),xiening,2,1,1,2,0,0,0,1,1,,
2007,1zz4hf81yj,BAR,Friday,evening,backward,Saturday,1,1,42205.4,Evening (after 6 pm),"Jacklyn, Rainie, Wang, lisa, Evan, Nate",6,6,2,6,0,0,0,2,6,,
2007,1zz4hf81yj,BAR,Friday,midday,backward,Saturday,1,1,16449.8,Midday (noon - 6 pm),"Nate, julie, josh",3,1,0,3,0,0,0,0,1,,
2007,1zz4hf81yj,BAR,Friday,morning,backward,Saturday,1,1,14319.7,Morning (until noon),"Nathaniel, peter, thomas",3,0,0,3,0,0,0,0,0,,
2007,1zz4hf81yj,BAR,Thursday,evening,backward,Saturday,2,2,12743.2,Evening (after 6 pm),"xiening, zhuxieye, rainie, dan",4,4,1,4,0,0,0,1,4,,
2007,1zz4hf81yj,BAR,Thursday,midday,backward,Saturday,2,2,6858.7,Midday (noon - 6 pm),daisy,1,0,0,1,0,0,0,0,0,,
2007,1zz4hf81yj,BAR,Thursday,morning,backward,Saturday,2,2,11179.8,Morning (until noon),Juan,1,0,0,1,0,0,0,0,0,,
2007,1zz4hf81yj,BAR,Wednesday,evening,backward,Saturday,3,3,7683.7,Evening (after 6 pm),"Nathaniel, ZHuxiye",2,2,0,2,0,0,0,0,2,,
2007,1zz4hf81yj,BAR,Wednesday,midday,backward,Saturday,3,3,17726.5,Midday (noon - 6 pm),"Xining, Zhu xiye",2,0,0,2,0,0,0,0,0,,
2007,1zz4hf81yj,BAR,Wednesday,morning,backward,Saturday,3,3,8789.4,Morning (until noon),"Josh, rainie, fiona",2,0,0,3,0,0,0,0,0,,
2008,2akb7uzu8b,FOR,Monday,morning,forward,Thursday,3,0,27907.2,Morning (until noon),"john, keegan, arina, jyothi, stormy, rohan, morgan, andrew",12,12,12,12,0,0,0,12,12,,
2008,2akb7uzu8b,FOR,Monday,midday,forward,Thursday,3,0,9822.4,Midday (noon - 6 pm),"keegan, arina",3,3,2,3,0,0,0,2,3,,
2008,2akb7uzu8b,FOR,Monday,evening,forward,Thursday,3,0,23027.9,Evening (after 6 pm),"john, keegan, jyothi, rohan, ricky, morgan, andrew",7,5,5,7,0,0,0,5,5,,
2008,2akb7uzu8b,FOR,Tuesday,morning,forward,Thursday,2,1,6940.1,Morning (until noon),"keegan, arina",2,2,0,2,0,0,0,0,2,,
2008,2akb7uzu8b,FOR,Tuesday,midday,forward,Thursday,2,1,4115.4,Midday (noon - 6 pm),"keegan, arina",2,0,0,2,0,0,0,0,0,,
2008,2akb7uzu8b,FOR,Tuesday,evening,forward,Thursday,2,1,5679,Evening (after 6 pm),"keegan, arina, nicole",3,1,1,3,0,0,0,1,1,,
2008,2akb7uzu8b,FOR,Wednesday,morning,forward,Thursday,1,2,5081.4,Morning (until noon),"keegan, arina",2,2,0,2,0,0,0,0,2,,
2008,2akb7uzu8b,FOR,Wednesday,midday,forward,Thursday,1,2,15774.5,Midday (noon - 6 pm),"keegan, arina, john, jyothi, rohan, ricky, morgan, andrew, paul",9,7,4,9,0,0,0,4,7,,
2008,2akb7uzu8b,FOR,Wednesday,evening,forward,Thursday,1,2,3364.2,Evening (after 6 pm),"keegan, arina",2,0,0,2,0,0,0,0,0,,
2008,2akb7uzu8b,FOR,Thursday,morning,forward,Thursday,0,3,5928.4,Morning (until noon),"keegan, arina",2,2,0,2,0,0,0,0,2,,
2008,2akb7uzu8b,FOR,Thursday,midday,forward,Thursday,0,3,7262.6,Midday (noon - 6 pm),no one,0,0,0,0,0,0,0,0,0,,
2008,2akb7uzu8b,FOR,Thursday,evening,forward,Thursday,0,3,9291.8,Evening (after 6 pm),xx,0,0,0,0,0,0,0,0,0,,
2009,3kgmu6wfr9,BAR,Sunday,evening,backward,Sunday,0,0,46063.8,Evening (after 6 pm),"dad, mom, brother",6,6,6,6,0,0,0,6,6,,
2009,3kgmu6wfr9,BAR,Sunday,midday,backward,Sunday,0,0,140282.9,Midday (noon - 6 pm),"dad, mom, brother, the guard of our apartment, the nurse in the dermatology clinic, the pharmacist in the pharmacy",6,3,3,3,3,3,3,0,0,,
2009,3kgmu6wfr9,BAR,Sunday,morning,backward,Sunday,0,0,18090.2,Morning (until noon),"dad, mom, brother",3,0,0,3,0,0,0,0,0,,
2009,3kgmu6wfr9,BAR,Saturday,evening,backward,Sunday,1,1,24309.7,Evening (after 6 pm),"dad, mom, brother",3,3,0,3,0,0,0,0,3,,
2009,3kgmu6wfr9,BAR,Saturday,midday,backward,Sunday,1,1,42330.7,Midday (noon - 6 pm),"dad, mom, brother, clerk at the convenient store",4,1,1,3,1,1,1,0,0,,
2009,3kgmu6wfr9,BAR,Saturday,morning,backward,Sunday,1,1,6927.3,Morning (until noon),"dad, mom, brother",3,0,0,3,0,0,0,0,0,,
2009,3kgmu6wfr9,BAR,Friday,evening,backward,Sunday,2,2,10685.8,Evening (after 6 pm),"dad, mom, brother",3,3,0,3,0,0,0,0,3,,
2009,3kgmu6wfr9,BAR,Friday,midday,backward,Sunday,2,2,6107.2,Midday (noon - 6 pm),"dad, mom, brother",3,0,0,3,0,0,0,0,0,,
2009,3kgmu6wfr9,BAR,Friday,morning,backward,Sunday,2,2,5544.3,Morning (until noon),"dad, mom, brother",3,0,0,3,0,0,0,0,0,,
2009,3kgmu6wfr9,BAR,Thursday,evening,backward,Sunday,3,3,22901.3,Evening (after 6 pm),"dad, mom, brother",3,3,0,3,0,0,0,0,3,,
2009,3kgmu6wfr9,BAR,Thursday,midday,backward,Sunday,3,3,27990.7,Midday (noon - 6 pm),"dad, mom, brother, guard of our apartment, delivery person",5,2,1,3,2,0,2,1,0,,
2009,3kgmu6wfr9,BAR,Thursday,morning,backward,Sunday,3,3,7960.2,Morning (until noon),"dad, mom, brother",3,0,0,3,0,0,0,0,0,,
2010,3vlgdcnaao,FR,FR,FR,FR,Tuesday,0,0,77725,FR,"amal, zaina, aya, hamna, khatija, aisha, anastasia, kid from FYCARE, maaz, mom, dad, zainab, nuha, haniah, nisma, ridah, dalya, selena",13,,13,12,1,1,1,12,12,,
2011,5bsnj96e2t,FR,FR,FR,FR,Wednesday,0,0,139901.7,FR,"My roommate Sarah, My roommate Joaquin, My roommate Keeion, The woman who sits in front of me in KIN352, Quincy in my PSYCH100 discussion, The cashier at AMKO, A cashier at Target in Champaign",7,,7,4,3,3,3,4,4,,
2012,7cmrht26au,BAR,Monday,evening,backward,Monday,0,0,49277.6,Evening (after 6 pm),"No one (as it hasn't been evening, after 6 pm yet)",0,0,0,0,0,0,0,0,0,,
2012,7cmrht26au,BAR,Monday,midday,backward,Monday,0,0,15496.6,Midday (noon - 6 pm),"Mom, Dad",3,3,3,3,0,0,0,3,3,,
2012,7cmrht26au,BAR,Monday,morning,backward,Monday,0,0,8544.4,Morning (until noon),"Mom, Dad",4,2,2,2,0,0,0,2,2,,
2012,7cmrht26au,BAR,Sunday,evening,backward,Monday,1,1,10696.6,Evening (after 6 pm),"Mom, Dad",2,2,0,2,0,0,0,0,2,,
2012,7cmrht26au,BAR,Sunday,midday,backward,Monday,1,1,12211.4,Midday (noon - 6 pm),"Mom, Dad",2,0,0,2,0,0,0,0,0,,
2012,7cmrht26au,BAR,Sunday,morning,backward,Monday,1,1,5836.1,Morning (until noon),"Mom, Dad",2,0,0,2,0,0,0,0,0,,
2012,7cmrht26au,BAR,Saturday,evening,backward,Monday,2,2,11387.8,Evening (after 6 pm),"Mom, Dad",2,2,0,2,0,0,0,0,2,,
2012,7cmrht26au,BAR,Saturday,midday,backward,Monday,2,2,14155.5,Midday (noon - 6 pm),"Sridevi Aunty. Sudhakar Uncle,  Mom, Dad",4,2,2,4,0,0,0,2,2,,
2012,7cmrht26au,BAR,Saturday,morning,backward,Monday,2,2,7853,Morning (until noon),"Mom, Dad",2,0,0,2,0,0,0,0,0,,
2012,7cmrht26au,BAR,Friday,evening,backward,Monday,3,3,5322.7,Evening (after 6 pm),"Mom, Dad",2,2,0,2,0,0,0,0,2,,
2012,7cmrht26au,BAR,Friday,midday,backward,Monday,3,3,4510.3,Midday (noon - 6 pm),"Mom, Dad",2,0,0,2,0,0,0,0,0,,
2012,7cmrht26au,BAR,Friday,morning,backward,Monday,3,3,4918.4,Morning (until noon),"Mom, Dad",2,0,0,2,0,0,0,0,0,,
2013,7n8418fr3k,FOR,Sunday,morning,forward,Wednesday,3,0,33612,Morning (until noon),"Roommate, Friend, Teammates",4,4,4,4,0,0,0,4,4,y,
2013,7n8418fr3k,FOR,Sunday,midday,forward,Wednesday,3,0,16754,Midday (noon - 6 pm),"Roommate, Teammates",3,2,2,3,0,0,0,2,2,y,
2013,7n8418fr3k,FOR,Sunday,evening,forward,Wednesday,3,0,2911,Evening (after 6 pm),Friends,2,2,2,2,0,0,0,2,2,y,
2013,7n8418fr3k,FOR,Monday,morning,forward,Wednesday,2,1,15248,Morning (until noon),"Teacher, Classmates, Roommates",5,5,5,5,0,0,0,5,5,y,
2013,7n8418fr3k,FOR,Monday,midday,forward,Wednesday,2,1,11305,Midday (noon - 6 pm),"Teacher, Classmates, Roomate",4,1,0,4,0,0,0,0,1,y,
2013,7n8418fr3k,FOR,Monday,evening,forward,Wednesday,2,1,10062,Evening (after 6 pm),Roommate,1,0,0,1,0,0,0,0,0,,
2013,7n8418fr3k,FOR,Tuesday,morning,forward,Wednesday,1,2,15387,Morning (until noon),"Teacher, Classmates, Professor, Friend, Roommate",6,6,1,6,0,0,0,1,6,y,
2013,7n8418fr3k,FOR,Tuesday,midday,forward,Wednesday,1,2,11658,Midday (noon - 6 pm),"Teacher, Friend, Roommate, Friend",4,0,0,4,0,0,0,0,0,,
2013,7n8418fr3k,FOR,Tuesday,evening,forward,Wednesday,1,2,5017,Evening (after 6 pm),"Friends, Professor",3,0,0,3,0,0,0,0,0,y,
2013,7n8418fr3k,FOR,Wednesday,morning,forward,Wednesday,0,3,8343,Morning (until noon),"Roommate, Friend, Mom",3,3,0,3,0,0,0,0,3,,
2013,7n8418fr3k,FOR,Wednesday,midday,forward,Wednesday,0,3,6645,Midday (noon - 6 pm),"Friend , Roommate, Mom",3,0,0,3,0,0,0,0,0,,
2013,7n8418fr3k,FOR,Wednesday,evening,forward,Wednesday,0,3,5113,Evening (after 6 pm),Roommate,1,0,0,1,0,0,0,0,0,,
2014,7o0qlspheh,BAR,Sunday,evening,backward,Sunday,0,0,9266.7,Evening (after 6 pm),1 person,1,,1,,1,,,,,,
2014,7o0qlspheh,BAR,Sunday,midday,backward,Sunday,0,0,9406.8,Midday (noon - 6 pm),2 people,2,,2,,2,,,,,,
2014,7o0qlspheh,BAR,Sunday,morning,backward,Sunday,0,0,5742.9,Morning (until noon),0,0,,0,0,0,,,,,,
2014,7o0qlspheh,BAR,Saturday,evening,backward,Sunday,1,1,31602.6,Evening (after 6 pm),0,0,,0,0,0,,,,,,
2014,7o0qlspheh,BAR,Saturday,midday,backward,Sunday,1,1,5877.7,Midday (noon - 6 pm),1,1,,,,,,,,,,y
2014,7o0qlspheh,BAR,Saturday,morning,backward,Sunday,1,1,16460.9,Morning (until noon),3,3,,,,,,,,,,y
2014,7o0qlspheh,BAR,Friday,evening,backward,Sunday,2,2,9249.8,Evening (after 6 pm),0,0,,0,0,0,,,,,,
2014,7o0qlspheh,BAR,Friday,midday,backward,Sunday,2,2,6018.7,Midday (noon - 6 pm),3,3,,,,,,,,,,y
2014,7o0qlspheh,BAR,Friday,morning,backward,Sunday,2,2,29717.6,Morning (until noon),"Lynn, Brian Cudiamat, Olivia Penderenski",3,,3,3,0,,,,,,
2014,7o0qlspheh,BAR,Thursday,evening,backward,Sunday,3,3,111382.9,Evening (after 6 pm),0,0,,0,0,0,,,,,,
2014,7o0qlspheh,BAR,Thursday,midday,backward,Sunday,3,3,22813,Midday (noon - 6 pm),"Brian Cudiamat, Olivia Penderenski, Lynn, Raina ",4,,1,4,0,,,,,,
2014,7o0qlspheh,BAR,Thursday,morning,backward,Sunday,3,3,23690.5,Morning (until noon),"Brian Cudiamat, Olivia Penderenski, Lynn, Raina ",4,,1,4,0,,,,,,
2015,8jnmj5hlhy,FOR,Monday,morning,forward,Thursday,3,0,34954.5,Morning (until noon),"My father, my sister, and my two dogs",4,4,4,2,2,2,2,2,2,,
2015,8jnmj5hlhy,FOR,Monday,midday,forward,Thursday,3,0,38473,Midday (noon - 6 pm),"Vandana Nambiar, a good friend of mine since high school",2,2,2,2,0,0,0,2,2,,
2015,8jnmj5hlhy,FOR,Monday,evening,forward,Thursday,3,0,7275.5,Evening (after 6 pm),Still Vandana,1,1,1,1,0,0,0,1,1,,
2015,8jnmj5hlhy,FOR,Tuesday,morning,forward,Thursday,2,1,40665.7,Morning (until noon),"My cousins who I have not seen in the past few years. Trisha and Tinni. And my aunt and their dog, Stella",5,5,5,5,0,0,0,5,5,y,
2015,8jnmj5hlhy,FOR,Tuesday,midday,forward,Thursday,2,1,27818.9,Midday (noon - 6 pm),Still my cousins and my aunt,3,0,0,3,0,0,0,0,0,y,
2015,8jnmj5hlhy,FOR,Tuesday,evening,forward,Thursday,2,1,10118,Evening (after 6 pm),Vandana Nambiar and Natalie,2,2,1,2,0,0,0,1,2,,
2015,8jnmj5hlhy,FOR,Wednesday,morning,forward,Thursday,1,2,21515.4,Morning (until noon),"My father, sister, and two dogs",2,2,2,2,0,0,0,2,2,,
2015,8jnmj5hlhy,FOR,Wednesday,midday,forward,Thursday,1,2,41876.8,Midday (noon - 6 pm),"two of my best friends (one since elementary school, and the other since high school)",2,0,0,2,0,0,0,0,0,,
2015,8jnmj5hlhy,FOR,Wednesday,evening,forward,Thursday,1,2,5396.5,Evening (after 6 pm),Just my family,2,2,2,0,0,0,0,2,2,y,
2015,8jnmj5hlhy,FOR,Thursday,morning,forward,Thursday,0,3,8132.8,Morning (until noon),Vandana Nambiar,1,1,0,1,0,0,0,0,1,,
2015,8jnmj5hlhy,FOR,Thursday,midday,forward,Thursday,0,3,7680.7,Midday (noon - 6 pm),No one else yet ,0,0,0,0,0,0,0,0,0,,
2015,8jnmj5hlhy,FOR,Thursday,evening,forward,Thursday,0,3,4963.4,Evening (after 6 pm),No one else yet ,0,0,0,0,0,0,0,0,0,,
2016,09u74h9leu,FR,FR,FR,FR,Monday,0,0,149211.5,FR,"movviz, alex, larry, matt, chris, blake, kieran, rebecca, Logan, Alex's Friend, Guy who does magic tricks at nugent, mark, receptionist at dorm , tutor at 24 illini hall , short brown-haired girl on bus , tea club president, zero2one president, zero2one vice president, zero2one secetary, will, shermar , sofia",22,,22,18,4,4,4,18,18,,
2017,40zjdxnpyr,FR,FR,FR,FR,Tuesday,0,0,119911.2,FR,"Aneta (roommate), Zara (roommate), Ivan, Tyler, Monika, Gerald, Cheril, Val, Jade, Leah, Genna, Sophie, Lucy, Jordan, Sharon, barista at Caffe Paradiso, Alec, Cindy",11,,11,10,1,1,1,10,10,,
2018,60ady76pgm,BAR,Monday,evening,backward,Monday,0,0,6381.965,Evening (after 6 pm),0,0,,,,,,,,,,y
2018,60ady76pgm,BAR,Monday,midday,backward,Monday,0,0,10576.53,Midday (noon - 6 pm),0,0,,,,,,,,,,y
2018,60ady76pgm,BAR,Monday,morning,backward,Monday,0,0,4032.55,Morning (until noon),20,20,,,,,,,,,,y
2018,60ady76pgm,BAR,Sunday,evening,backward,Monday,1,1,7940.28,Evening (after 6 pm),30,30,,,,,,,,,,y
2018,60ady76pgm,BAR,Sunday,midday,backward,Monday,1,1,3985.885,Midday (noon - 6 pm),40,40,,,,,,,,,,y
2018,60ady76pgm,BAR,Sunday,morning,backward,Monday,1,1,4195.78,Morning (until noon),50,50,,,,,,,,,,y
2018,60ady76pgm,BAR,Saturday,evening,backward,Monday,2,2,4472.095,Evening (after 6 pm),40,40,,,,,,,,,,y
2018,60ady76pgm,BAR,Saturday,midday,backward,Monday,2,2,2972.9,Midday (noon - 6 pm),40,40,,,,,,,,,,y
2018,60ady76pgm,BAR,Saturday,morning,backward,Monday,2,2,2515.705,Morning (until noon),100,100,,,,,,,,,,y
2018,60ady76pgm,BAR,Friday,evening,backward,Monday,3,3,3882.355,Evening (after 6 pm),50,50,,,,,,,,,,y
2018,60ady76pgm,BAR,Friday,midday,backward,Monday,3,3,2328.45,Midday (noon - 6 pm),40,40,,,,,,,,,,y
2018,60ady76pgm,BAR,Friday,morning,backward,Monday,3,3,2171.085,Morning (until noon),40,40,,,,,,,,,,y
2019,66eaov2hu2,FOR,Tuesday,morning,forward,Friday,3,0,14187.8,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
2019,66eaov2hu2,FOR,Tuesday,midday,forward,Friday,3,0,9491.5,Midday (noon - 6 pm),"Danbie , Maddy, Jacki",6,6,6,6,0,0,0,6,6,,
2019,66eaov2hu2,FOR,Tuesday,evening,forward,Friday,3,0,8461.6,Evening (after 6 pm),"Danbie , Maddy, Jacki, Claudia",4,4,3,4,0,0,0,3,4,,
2019,66eaov2hu2,FOR,Wednesday,morning,forward,Friday,2,1,9927.2,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
2019,66eaov2hu2,FOR,Wednesday,midday,forward,Friday,2,1,5517.2,Midday (noon - 6 pm),"Danbie, Jacki",3,3,2,3,0,0,0,2,3,,
2019,66eaov2hu2,FOR,Wednesday,evening,forward,Friday,2,1,8063.9,Evening (after 6 pm),"Danbie , Jacki, Maddy",3,1,0,3,0,0,0,0,1,,
2019,66eaov2hu2,FOR,Thursday,morning,forward,Friday,1,2,10719.5,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
2019,66eaov2hu2,FOR,Thursday,midday,forward,Friday,1,2,8791.3,Midday (noon - 6 pm),"Danbie, Jacki, Maddy, Claudia",4,4,0,4,0,0,0,0,4,,
2019,66eaov2hu2,FOR,Thursday,evening,forward,Friday,1,2,11326.1,Evening (after 6 pm),"Danbie, Jacki, Maddy, Claudia, Joseph",5,1,1,5,0,0,0,1,1,,
2019,66eaov2hu2,FOR,Friday,morning,forward,Friday,0,3,12368.2,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
2019,66eaov2hu2,FOR,Friday,midday,forward,Friday,0,3,4144.3,Midday (noon - 6 pm),"Danny, Wha",2,2,2,2,0,0,0,2,2,,
